Type of Days,Year,index
All days,2003,21
All days,2004,21
All days,2005,21
All days,2006,21
All days,2007,21
All days,2008,21
All days,2009,21
All days,2010,21
All days,2011,21
All days,2012,21
All days,2013,21
All days,2014,21
All days,2015,21
All days,2016,21
All days,2017,21
Nonholiday weekdays,2003,21
Nonholiday weekdays,2004,21
Nonholiday weekdays,2005,21
Nonholiday weekdays,2006,21
Nonholiday weekdays,2007,21
Nonholiday weekdays,2008,21
Nonholiday weekdays,2009,21
Nonholiday weekdays,2010,21
Nonholiday weekdays,2011,21
Nonholiday weekdays,2012,21
Nonholiday weekdays,2013,21
Nonholiday weekdays,2014,21
Nonholiday weekdays,2015,21
Nonholiday weekdays,2016,21
Nonholiday weekdays,2017,21
Weekend days and holidays,2003,21
Weekend days and holidays,2004,21
Weekend days and holidays,2005,21
Weekend days and holidays,2006,21
Weekend days and holidays,2007,21
Weekend days and holidays,2008,21
Weekend days and holidays,2009,21
Weekend days and holidays,2010,21
Weekend days and holidays,2011,21
Weekend days and holidays,2012,21
Weekend days and holidays,2013,21
Weekend days and holidays,2014,21
Weekend days and holidays,2015,21
Weekend days and holidays,2016,21
Weekend days and holidays,2017,21
